Customer_ID,Customer_Name,Gender,Age,State,City,Bank_Branch,Account_Type,Transaction_ID,Transaction_Date,Transaction_Time,Transaction_Amount,Merchant_ID,Transaction_Type,Merchant_Category,Account_Balance,Transaction_Device,Transaction_Location,Device_Type,Risk_Type,Transaction_Currency,Customer_Contact,Transaction_Description,Customer_Email,Is_Fraud_AML
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,edab4ea7-0bd9-4104-b0c1-f12f3442b1e1,10-01-2025,20:45:38,60888.93,c44fe82b-2cf9-40a7-a93f-f0aa634fd3a5,Withdrawal,Electronics,35083.22,POS Mobile Device,"Madurai, Tamil Nadu",ATM,Clean,INR,+91958555XXXXXX,Train ticket,pii_email_3a61fbfe827f,0
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,69ca8fcb-847d-4fb2-9574-6a4623caaf18,28-01-2025,18:42:57,9781.95,98526279-9bbd-4c0a-b794-1ba144de2847,Withdrawal,Clothing,72757.63,Voice Assistant,"Madurai, Tamil Nadu",Mobile,Clean,INR,+91958555XXXXXX,Cash withdrawal,pii_email_3a61fbfe827f,0
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,7578b1fc-663e-41c7-83b6-c9da4795c4a9,10-03-2025,11:00:22,67344.25,10093607-4ccc-4919-bd90-7c6056b17ce1,Transfer,Restaurant,66434.7,QR Code Scanner,"Madurai, Tamil Nadu",ATM,Clean,INR,+91958555XXXXXX,Hotel booking,pii_email_3a61fbfe827f,0
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,dc601afc-0b5e-4e16-8a45-fde6db5a0515,11-03-2025,23:18:36,9478.3,2e846490-4506-4969-9007-4a7ad24e38ad,Credit,Entertainment,39115.31,Self-service Banking Machine,"Madurai, Tamil Nadu",Desktop,Money Laundering,INR,+91958555XXXXXX,Cash withdrawal,pii_email_3a61fbfe827f,1
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,fa28ffef-bc46-4d41-ab9c-df75bb75f3c1,19-03-2025,08:40:24,52511.68,f6f00f08-c82f-4c70-aea6-17bd169b6c86,Transfer,Groceries,70393.91,Digital Wallet,"Madurai, Tamil Nadu",Desktop,Clean,INR,+91958555XXXXXX,Jewelry purchase,pii_email_3a61fbfe827f,0
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,c550c1fa-1ae1-44d3-8b12-0d69dc10b120,23-04-2025,08:16:55,31251.49,8a4dc96a-b82a-4ea9-afa7-0b277b215f01,Withdrawal,Electronics,54793.89,Internet Banking,"Madurai, Tamil Nadu",POS,Clean,INR,+91958555XXXXXX,Gym membership,pii_email_3a61fbfe827f,0
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,34f133d3-afc9-47e4-8393-9979c0a314f8,02-05-2025,22:38:48,9524.19,ebdd0f4f-1813-42a5-8259-0b2f1fdfb58f,Bill Payment,Entertainment,74414.27,Virtual Card,"Madurai, Tamil Nadu",POS,Money Laundering,INR,+91958555XXXXXX,Cash withdrawal,pii_email_3a61fbfe827f,1
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,d8de8066-3bc6-4a99-a3b9-ac2e5dc16168,15-05-2025,22:43:31,8543.73,87b677de-88f4-4b99-827c-8956361c6c5a,Bill Payment,Groceries,65620.79,QR Code Scanner,"Madurai, Tamil Nadu",Desktop,Money Laundering,INR,+91958555XXXXXX,Cash withdrawal,pii_email_3a61fbfe827f,1
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,96cf1c9a-6306-40bc-a032-6efde3c3db21,01-06-2025,16:04:19,8825.37,fe3660bb-3cf2-40a9-b1da-42e77cf46502,Credit,Health,137921.63,Chip Card,"Madurai, Tamil Nadu",Mobile,Money Laundering,INR,+91958555XXXXXX,Cash withdrawal,pii_email_3a61fbfe827f,1
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,47264cb7-35a3-4bd6-a262-29c3ac25ff5b,02-06-2025,07:58:13,43518.97,5f87f3ac-41a1-49c1-bd3c-e2e6dc6d62bc,Bill Payment,Groceries,60885.17,Digital Wallet,"Madurai, Tamil Nadu",POS,Clean,INR,+91958555XXXXXX,Hotel booking,pii_email_3a61fbfe827f,0
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,e0b74bd4-0e48-4732-b4e7-c8e075cf98e2,30-06-2025,17:36:44,4265.21,e2a15c35-2a1e-4225-9596-974607d8eece,Credit,Health,65218.66,Branch Counter,"Madurai, Tamil Nadu",ATM,Clean,INR,+91958555XXXXXX,Gas bill,pii_email_3a61fbfe827f,0
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,5bb6447c-8acb-4433-a897-04cdb81511a7,03-07-2025,02:53:18,15042.58,31754ee8-3418-45d8-b97a-c85c75379b9c,Transfer,Entertainment,48514.82,POS Mobile App,"Madurai, Tamil Nadu",Desktop,Clean,INR,+91958555XXXXXX,Cash withdrawal,pii_email_3a61fbfe827f,0
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,fe634013-e1bb-481f-866f-7a7281c2fc7c,05-07-2025,15:07:00,73427.06,26c7c040-440a-4751-926c-ad8bd45a8357,Debit,Health,41172.11,Internet Banking,"Madurai, Tamil Nadu",POS,Clean,INR,+91958555XXXXXX,Grocery delivery,pii_email_3a61fbfe827f,0
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,8ecce510-b745-4388-b0a9-cf22da396b0e,15-07-2025,01:51:47,72996.21,6fac1501-3db1-4363-aac0-825796c37a35,Bill Payment,Electronics,57919.04,Voice Assistant,"Madurai, Tamil Nadu",Mobile,Clean,INR,+91958555XXXXXX,Online shopping,pii_email_3a61fbfe827f,0
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,a51dbf93-ef00-455a-8189-676782e25d07,01-08-2025,14:51:26,95530.41,6ef7d0cd-d016-4e60-b529-fd4bb2052d76,Bill Payment,Restaurant,47010.56,UPI,"Madurai, Tamil Nadu",Mobile,Clean,INR,+91958555XXXXXX,Debt repayment,pii_email_3a61fbfe827f,0
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,e9e55834-7b75-46b2-80f0-3b98327955ec,08-08-2025,16:30:07,76148.81,e105de66-3d9e-4dcb-8132-883a29ac4668,Withdrawal,Electronics,65142.75,Biometric ATM,"Madurai, Tamil Nadu",POS,Clean,INR,+91958555XXXXXX,Food delivery,pii_email_3a61fbfe827f,0
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,466454a7-f98b-421a-9f9f-affb28117cde,20-08-2025,20:27:10,49063.87,c9fa4f1e-109d-40a9-86dd-3f0b3a0af712,Credit,Electronics,59700.28,Biometric ATM,"Madurai, Tamil Nadu",POS,Clean,INR,+91958555XXXXXX,Gas bill,pii_email_3a61fbfe827f,0
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,8ba96c1e-dbe4-430d-8f59-308584f30ded,26-09-2025,20:31:30,51568.46,9044970a-14a0-412d-b794-44bb41e4feeb,Bill Payment,Restaurant,65237.07,Biometric ATM,"Madurai, Tamil Nadu",POS,Clean,INR,+91958555XXXXXX,Jewelry purchase,pii_email_3a61fbfe827f,0
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,b5c4f81e-2ac5-4557-a18a-fc76113de602,06-11-2025,07:38:20,2923.5,f3fbff0c-32fe-46c2-9b35-b6c7849f2bd9,Transfer,Health,36500.26,Biometric ATM,"Madurai, Tamil Nadu",Mobile,Clean,INR,+91958555XXXXXX,Gas bill,pii_email_3a61fbfe827f,0
00714ded-9476-47b7-9801-663ee18968c7,pii_full_name_7fdb50813ba2,Male,35,Tamil Nadu,Madurai,Madurai Branch,Savings,bcb9ba1f-cd4b-49a1-a774-032735f3e977,10-11-2025,21:11:16,1138.78,eb6ce4a9-f3c2-435f-8bca-6db71dc63eae,Withdrawal,Clothing,34969.34,Magnetic Strip Card,"Madurai, Tamil Nadu",ATM,Clean,INR,+91958555XXXXXX,Hotel booking,pii_email_3a61fbfe827f,0
007b9ed9-c60e-4eef-944e-23f184682112,pii_full_name_18134875fb5d,Female,53,Gujarat,Surat,Surat Branch,Business,07e0e0d5-4956-40d1-bd3e-6d62fb164a51,09-02-2025,17:24:41,60496.26,8256316f-f105-40eb-9256-870154a3c5ec,Transfer,Entertainment,99996.44,Phone Banking,"Surat, Gujarat",Mobile,Clean,INR,+91965761XXXXXX,Hotel booking,pii_email_033afe8bff1a,0
